time,pressure
0,0.3388398110623762
12,2.258567058837008
24,5.452077240313557
36,10.434818206161347
48,16.52548324490942
60,25.493256530653635
72,37.19435079508224
84,47.77537941992629
96,60.87269426308043
108,76.46083413867764
120,94.3830557427774
132,113.12881332895967
144,132.99725464281136
156,156.63419777334036
168,177.58775297410224
180,204.4943914419753
192,233.18800545237116
204,258.68344407738994
216,288.6550228069896
228,318.98686793664154
240,341.8868087820337
252,379.17546835297503
264,410.15117802826734
276,443.5450721449335
288,476.24174806901874
300,507.4748640718428
312,535.9788856339961
324,569.5749740960205
336,603.4637727055543
348,632.8237253029478
360,665.5808960938713
372,701.9042567442413
384,729.2052885686691
396,765.2877686018423
408,796.7462208747979
420,826.7002167497145
432,851.9420876083221
444,882.2259640458797
456,911.228894696284
468,939.5468376627872
480,963.5204633846788
492,989.3188056961006
504,1019.6076862914133
516,1045.5215336783324
528,1068.0386398154878
540,1100.4267403309632
552,1131.4901772226685
564,1151.551713062657
576,1178.997455091987
588,1210.903197038052
600,1225.9103406917068
612,1255.406037943373
624,1277.42224492954
636,1309.3203546219559
648,1330.6153896644241
660,1356.9908085042382
672,1373.2546336323373
684,1402.1753795437126
696,1427.1813537288733
708,1450.3263276760435
720,1467.5598091720901
732,1474.9722581663227
744,1511.868422780385
756,1521.9975991238932
768,1547.948471375941
780,1563.0126413739201
792,1592.7913875458369
804,1612.2867242174273
816,1631.1658119934784
828,1649.5338051861852
840,1676.238163622758
852,1692.8791148133716
864,1708.724378434602
876,1742.216581629523
888,1744.7537780473494
900,1777.3356384341307
912,1790.2182121370925
924,1808.4047685872558
936,1840.559225455938
948,1844.7570231527334
960,1869.482701268564
972,1888.4903100091753
984,1904.6213027649803
996,1931.8877513437403
1008,1947.9153508535774
1020,1964.677412599436
1032,1986.2992069019945
1044,2006.7930674336287
1056,2017.5756542715555
1068,2034.7905379257263
1080,2053.1644076177568
1092,2078.321111409013
1104,2090.8820992025094
1116,2105.9411353024657
1128,2122.1315737539935
1140,2137.1647022152442
1152,2147.602215490905
1164,2167.2497904859624
1176,2186.7611892201703
1188,2194.831057194643
